cpu,uarch,intrinsic,instruction,extension,latency,throughput(ipc),throughput(cpi),notes
3A4000,GS464V,__crypto_aes128_dec,aes128.dec,msa_crypto,14,0.07(1/14),14,
3A4000,GS464V,__crypto_aes128_enc,aes128.enc,msa_crypto,14,0.07(1/14),14,
3A4000,GS464V,__crypto_aes192_dec,aes192.dec,msa_crypto,16,0.06(1/16),16,
3A4000,GS464V,__crypto_aes192_enc,aes192.enc,msa_crypto,16,0.06(1/16),16,
3A4000,GS464V,__crypto_aes256_dec,aes256.dec,msa_crypto,18,0.06(1/18),18,
3A4000,GS464V,__crypto_aes256_enc,aes256.enc,msa_crypto,18,0.06(1/18),18,
3A4000,GS464V,__crypto_aes_fr_dec,aes.fr.dec,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_fr_enc,aes.fr.enc,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_kg,aes.kg,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_lr_dec,aes.lr.dec,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_lr_enc,aes.lr.enc,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_mc_dec,aes.mc.dec,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_mc_enc,aes.mc.enc,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_sb_dec,aes.sb.dec,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_sb_enc,aes.sb.enc,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_sr_dec,aes.sr.dec,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_aes_sr_enc,aes.sr.enc,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_md5_4r,md5.4r,msa_crypto,7,1,1,
3A4000,GS464V,__crypto_md5_ms,md5.ms,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha1_hash_4r,sha1.hash.4r,msa_crypto,7,1,1,
3A4000,GS464V,__crypto_sha1_ms_1,sha1.ms.1,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha1_ms_2,sha1.ms.2,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha256_hash_2r,sha256.hash.2r,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha256_ms_1,sha256.ms.1,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha256_ms_2,sha256.ms.2,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha512_hash_r_1,sha512.hash.r.1,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha512_hash_r_2,sha512.hash.r.2,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha512_ms_1,sha512.ms.1,msa_crypto,5,1,1,
3A4000,GS464V,__crypto_sha512_ms_2,sha512.ms.2,msa_crypto,5,1,1,
3A4000,GS464V,__lasx_mxadd_a_b,mxadd.a.b,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadd_a_d,mxadd.a.d,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadd_a_h,mxadd.a.h,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadd_a_w,mxadd.a.w,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadds_a_b,mxadds.a.b,asx,3,2,0.49,
3A4000,GS464V,__lasx_mxadds_a_d,mxadds.a.d,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadds_a_h,mxadds.a.h,asx,3,2,0.50,
3A4000,GS464V,__lasx_mxadds_a_w,mxadds.a.w,asx,3,2,0.49,
3A4000,GS464V,__lasx_mxadds_s_b,mxadds.s.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxadds_s_d,mxadds.s.d,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxadds_s_h,mxadds.s.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxadds_s_w,mxadds.s.w,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxadds_u_b,mxadds.u.b,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxadds_u_d,mxadds.u.d,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxadds_u_h,mxadds.u.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxadds_u_w,mxadds.u.w,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddv_b,mxaddv.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddv_d,mxaddv.d,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddv_h,mxaddv.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxaddv_w,mxaddv.w,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxaddvi_b,mxaddvi.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddvi_d,mxaddvi.d,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddvi_h,mxaddvi.h,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaddvi_w,mxaddvi.w,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxand_v,mxand.v,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxandi_b,mxandi.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxasub_s_b,mxasub.s.b,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxasub_s_d,mxasub.s.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxasub_s_h,mxasub.s.h,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxasub_s_w,mxasub.s.w,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxasub_u_b,mxasub.u.b,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxasub_u_d,mxasub.u.d,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxasub_u_h,mxasub.u.h,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxasub_u_w,mxasub.u.w,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxave_s_b,mxave.s.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxave_s_d,mxave.s.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxave_s_h,mxave.s.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxave_s_w,mxave.s.w,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxave_u_b,mxave.u.b,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxave_u_d,mxave.u.d,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxave_u_h,mxave.u.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxave_u_w,mxave.u.w,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaver_s_b,mxaver.s.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaver_s_d,mxaver.s.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxaver_s_h,mxaver.s.h,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxaver_s_w,mxaver.s.w,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxaver_u_b,mxaver.u.b,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxaver_u_d,mxaver.u.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxaver_u_h,mxaver.u.h,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxaver_u_w,mxaver.u.w,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxbclr_b,mxbclr.b,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclr_d,mxbclr.d,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclr_h,mxbclr.h,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclr_w,mxbclr.w,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclri_b,mxbclri.b,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclri_d,mxbclri.d,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbclri_h,mxbclri.h,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbclri_w,mxbclri.w,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbinsl_b,mxbinsl.b,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsl_d,mxbinsl.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsl_h,mxbinsl.h,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsl_w,mxbinsl.w,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsli_b,mxbinsli.b,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsli_d,mxbinsli.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsli_h,mxbinsli.h,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsli_w,mxbinsli.w,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsr_b,mxbinsr.b,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsr_d,mxbinsr.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsr_h,mxbinsr.h,asx,2,2,0.50,
3A4000,GS464V,__lasx_mxbinsr_w,mxbinsr.w,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsri_b,mxbinsri.b,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsri_d,mxbinsri.d,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsri_h,mxbinsri.h,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbinsri_w,mxbinsri.w,asx,2,2,0.49,
3A4000,GS464V,__lasx_mxbmnz_v,mxbmnz.v,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxbmnzi_b,mxbmnzi.b,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxbmz_v,mxbmz.v,asx,1,2,0.50,
3A4000,GS464V,__lasx_mxbmzi_b,mxbmzi.b,asx,1,2,0.49,
3A4000,GS464V,__lasx_mxbneg_b,mxbneg.b,asx,2,2,0.50,
