__builtin_msa_add_a_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_add_a_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_add_a_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_add_a_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_adds_a_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_adds_a_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_adds_a_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_adds_a_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_adds_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_adds_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_adds_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_adds_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_adds_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_adds_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_adds_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_adds_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_addv_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_addv_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_addv_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_addv_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_addvi_b	v16i8	v16i8 a, int imm0_31
__builtin_msa_addvi_d	v2i64	v2i64 a, int imm0_31
__builtin_msa_addvi_h	v8i16	v8i16 a, int imm0_31
__builtin_msa_addvi_w	v4i32	v4i32 a, int imm0_31
__builtin_msa_and_v	v16u8	v16u8 a, v16u8 b
__builtin_msa_andi_b	v16u8	v16u8 a, int imm0_255
__builtin_msa_asub_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_asub_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_asub_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_asub_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_asub_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_asub_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_asub_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_asub_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_ave_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ave_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ave_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ave_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_ave_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_ave_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_ave_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_ave_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_aver_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_aver_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_aver_s_h	v8i16	v8i16 a, v8i16 b
